suburb,local_goverment_area,postcode
Danderoo,Southern Downs (Regional Council),4370
Womina,Southern Downs (Regional Council),4370
North Branch,Southern Downs (Regional Council),4370
Allora,Southern Downs (Regional Council),4362
Berat,Southern Downs (Regional Council),4362
Ellinthorp,Southern Downs (Regional Council),4362
Forest Springs,Southern Downs (Regional Council),4361
Goomburra,Southern Downs (Regional Council),4362
Bony Mountain,Southern Downs (Regional Council),4370
Hendon,Southern Downs (Regional Council),4362
Mount Marshall,Southern Downs (Regional Council),4362
Deuchar,Southern Downs (Regional Council),4362
Massie,Southern Downs (Regional Council),4370
Talgai,Southern Downs (Regional Council),4362
Rosehill,Southern Downs (Regional Council),4370
Pratten,Southern Downs (Regional Council),4370
Cunningham,Southern Downs (Regional Council),4370
Karara,Southern Downs (Regional Council),4352
Rodgers Creek,Southern Downs (Regional Council),4370
Montrose,Southern Downs (Regional Council),4370
Thane,Southern Downs (Regional Council),4370
Thanes Creek,Southern Downs (Regional Council),4370
Old Talgai,Southern Downs (Regional Council),4365
Palgrave,Southern Downs (Regional Council),4370
Toolburra,Southern Downs (Regional Council),4370
Upper Wheatvale,Southern Downs (Regional Council),4370
Wheatvale,Southern Downs (Regional Council),4370
Greymare,Southern Downs (Regional Council),4370
Leslie,Southern Downs (Regional Council),4370
Leslie Dam,Southern Downs (Regional Council),4370
Nanum,Weipa (Town),4874
Evans Landing,Weipa (Town),4874
Trunding,Weipa (Town),4874
Rocky Point,Weipa (Town),4874
Weipa Airport,Weipa (Town),4874
Whitsundays,Whitsunday (Regional Council),4802
Proserpine,Whitsunday (Regional Council),4800
Cannonvale,Whitsunday (Regional Council),4802
Jubilee Pocket,Whitsunday (Regional Council),4802
Dittmer,Whitsunday (Regional Council),4800
Mount Pluto,Whitsunday (Regional Council),4800
Myrtlevale,Whitsunday (Regional Council),4800
Foxdale,Whitsunday (Regional Council),4800
Strathdickie,Whitsunday (Regional Council),4800
Mount Julian,Whitsunday (Regional Council),4800
Sugarloaf,Whitsunday (Regional Council),4800
Cannon Valley,Whitsunday (Regional Council),4800
Gregory River,Whitsunday (Regional Council),4800
Palm Grove,Whitsunday (Regional Council),4800
Mount Rooper,Whitsunday (Regional Council),4802
Riordanvale,Whitsunday (Regional Council),4800
Brandy Creek,Whitsunday (Regional Council),4800
Airlie Beach,Whitsunday (Regional Council),4802
Cape Conway,Whitsunday (Regional Council),4800
Mandalay,Whitsunday (Regional Council),4802
Flametree,Whitsunday (Regional Council),4802
Hideaway Bay,Whitsunday (Regional Council),4800
Dingo Beach,Whitsunday (Regional Council),4800
Cape Gloucester,Whitsunday (Regional Council),4800
Woodwark,Whitsunday (Regional Council),4802
Hamilton Plains,Whitsunday (Regional Council),4800
