suburb,local_goverment_area,postcode
East Albury,Albury (City),2640
Lavington,Albury (City),2641
Glenroy,Albury (City),2640
Albury,Albury (City),2640
North Albury,Albury (City),2640
Table Top,Albury (City),2640
Splitters Creek,Albury (City),2640
West Albury,Albury (City),2640
Springdale Heights,Albury (City),2641
Thurgoona,Albury (City),2640
South Albury,Albury (City),2640
Wirlinga,Albury (City),2640
Hamilton Valley,Albury (City),2641
Jindera,Greater Hume Shire (Area),2642
Armidale,Armidale Regional (Area),2350
Boorolong,Armidale Regional (Area),2350
Dumaresq,Armidale Regional (Area),2350
Duval,Armidale Regional (Area),2350
Donald Creek,Armidale Regional (Area),2350
Black Mountain,Armidale Regional (Area),2365
Aberfoyle,Armidale Regional (Area),2350
Thalgarrah,Armidale Regional (Area),2350
Wollomombi,Armidale Regional (Area),2350
Jeogla,Armidale Regional (Area),2350
Ebor,Armidale Regional (Area),2453
Dangarsleigh,Armidale Regional (Area),2350
Metz,Armidale Regional (Area),2350
Hillgrove,Armidale Regional (Area),2350
Castle Doyle,Armidale Regional (Area),2350
Enmore,Armidale Regional (Area),2350
Lower Creek,Armidale Regional (Area),2440
Carrai,Armidale Regional (Area),2440
Tilbuster,Armidale Regional (Area),2350
Kellys Plains,Armidale Regional (Area),2350
Wongwibinda,Armidale Regional (Area),2350
Lyndhurst,Armidale Regional (Area),2350
Puddledock,Armidale Regional (Area),2350
Croydon Park,Inner West (Area),2133
Croydon,Inner West (Area),2132
Ashfield,Inner West (Area),2131
Haberfield,Inner West (Area),2045
Summer Hill,Inner West (Area),2130
Hurlstone Park,Inner West (Area),2193
Ashbury,Inner West (Area),2193
Guyong,Cabonne (Area),2798
Newington,Parramatta (City),2127
Lidcombe,Cumberland (Area),2141
Berala,Cumberland (Area),2141
Auburn,Cumberland (Area),2144
Sydney Olympic Park,Parramatta (City),2127
Silverwater,Parramatta (City),2128
Regents Park,Cumberland (Area),2143
Wentworth Point,Parramatta (City),2127
Rookwood,Cumberland (Area),2141
East Ballina,Ballina (Area),2478
Tintenbar,Ballina (Area),2478
Cumbalum,Ballina (Area),2478
Broken Head,Ballina (Area),2481
Lennox Head,Ballina (Area),2478
Newrybar,Ballina (Area),2479
Knockrow,Ballina (Area),2479
Skennars Head,Ballina (Area),2478
Wardell,Ballina (Area),2477
West Ballina,Ballina (Area),2478
Alstonvale,Ballina (Area),2477
East Wardell,Ballina (Area),2477
Wollongbar,Ballina (Area),2477
Bagotville,Ballina (Area),2477
Ballina,Ballina (Area),2478
Fernleigh,Ballina (Area),2479
Meerschaum Vale,Ballina (Area),2477
Keith Hall,Ballina (Area),2478
South Ballina,Ballina (Area),2478
Teven,Ballina (Area),2478
Alstonville,Ballina (Area),2477
Cabbage Tree Island,Ballina (Area),2477
Goat Island,Ballina (Area),2477
Pimlico Island,Ballina (Area),2478
Pimlico,Ballina (Area),2478
Rous Mill,Ballina (Area),2477
Dalwood,Ballina (Area),2477
Marom Creek,Ballina (Area),2480
Patchs Beach,Ballina (Area),2478
Rous,Ballina (Area),2477
Lynwood,Ballina (Area),2477
Uralba,Ballina (Area),2477
Empire Vale,Ballina (Area),2478
Tuckombil,Ballina (Area),2477
Brooklet,Ballina (Area),2479
Coolgardie,Ballina (Area),2478
McLeans Ridges,Ballina (Area),2480
Euston,Balranald (Area),2737
Balranald,Balranald (Area),2715
Hatfield,Balranald (Area),2715
Oxley,Balranald (Area),2711
Ivanhoe,Balranald (Area),2878
Mossgiel,Balranald (Area),2878
Corrong,Balranald (Area),2711
Arumpo,Balranald (Area),2715
Hornsby,Hornsby (Area),2077
Clare,Balranald (Area),2711
Kyalite,Balranald (Area),2715
Mungo,Balranald (Area),2715
Booligal,Balranald (Area),2711
Condell Park,Canterbury-Bankstown (Area),2200
Bankstown,Canterbury-Bankstown (Area),2200
Punchbowl,Canterbury-Bankstown (Area),2196
Mount Lewis,Canterbury-Bankstown (Area),2190
Greenacre,Canterbury-Bankstown (Area),2190
Yagoona,Canterbury-Bankstown (Area),2199
Chullora,Canterbury-Bankstown (Area),2190
Bonny Hills,Port Macquarie-Hastings (Area),2445
Georges Hall,Canterbury-Bankstown (Area),2198
Villawood,Canterbury-Bankstown (Area),2163
Bass Hill,Canterbury-Bankstown (Area),2197
Chester Hill,Canterbury-Bankstown (Area),2162
Sefton,Canterbury-Bankstown (Area),2162
Revesby,Canterbury-Bankstown (Area),2212
Lansdowne,Canterbury-Bankstown (Area),2163
Potts Hill,Canterbury-Bankstown (Area),2143
Birrong,Canterbury-Bankstown (Area),2143
Bankstown Aerodrome,Canterbury-Bankstown (Area),2200
Milperra,Canterbury-Bankstown (Area),2214
East Hills,Canterbury-Bankstown (Area),2213
Panania,Canterbury-Bankstown (Area),2213
Picnic Point,Canterbury-Bankstown (Area),2213
Revesby Heights,Canterbury-Bankstown (Area),2212
Padstow,Canterbury-Bankstown (Area),2211
Padstow Heights,Canterbury-Bankstown (Area),2211
Eglinton,Bathurst Regional (Area),2795
West Bathurst,Bathurst Regional (Area),2795
Bathurst,Bathurst Regional (Area),2795
South Bathurst,Bathurst Regional (Area),2795
Kelso,Bathurst Regional (Area),2795
Raglan,Bathurst Regional (Area),2795
Mount Panorama,Bathurst Regional (Area),2795
Mitchell,Bathurst Regional (Area),2795
White Rock,Bathurst Regional (Area),2795
Windradyne,Bathurst Regional (Area),2795
Gormans Hill,Bathurst Regional (Area),2795
Orton Park,Bathurst Regional (Area),2795
Forest Grove,Bathurst Regional (Area),2795
Llanarth,Bathurst Regional (Area),2795
Abercrombie,Bathurst Regional (Area),2795
Robin Hill,Bathurst Regional (Area),2795
Laffing Waters,Bathurst Regional (Area),2795
Georges Plains,Bathurst Regional (Area),2795
Wimbledon,Bathurst Regional (Area),2795
Wisemans Creek,Bathurst Regional (Area),2795
Charlton,Bathurst Regional (Area),2795
Curragh,Bathurst Regional (Area),2795
Abercrombie River,Bathurst Regional (Area),2795
Caloola,Bathurst Regional (Area),2795
Copperhannia,Bathurst Regional (Area),2795
Colo,Bathurst Regional (Area),2795
Arkell,Bathurst Regional (Area),2795
Cow Flat,Bathurst Regional (Area),2795
Fosters Valley,Bathurst Regional (Area),2795
Trunkey Creek,Bathurst Regional (Area),2795
Triangle Flat,Bathurst Regional (Area),2795
Meadow Flat,Bathurst Regional (Area),2795
Millah Murrah,Bathurst Regional (Area),2795
Wiagdon,Bathurst Regional (Area),2795
Clear Creek,Bathurst Regional (Area),2795
Upper Turon,Bathurst Regional (Area),2795
Sunny Corner,Bathurst Regional (Area),2795
Yetholme,Bathurst Regional (Area),2795
Locksley,Bathurst Regional (Area),2795
Milkers Flat,Bathurst Regional (Area),2795
Sallys Flat,Bathurst Regional (Area),2850
Kirkconnell,Bathurst Regional (Area),2795
Gemalla,Bathurst Regional (Area),2795
Gowan,Bathurst Regional (Area),2795
Freemantle,Bathurst Regional (Area),2795
Killongbutta,Bathurst Regional (Area),2795
Bruinbun,Bathurst Regional (Area),2795
Peel,Bathurst Regional (Area),2795
Crudine,Bathurst Regional (Area),2795
Glanmire,Bathurst Regional (Area),2795
Paling Yards,Bathurst Regional (Area),2795
Napoleon Reef,Bathurst Regional (Area),2795
Tarana,Bathurst Regional (Area),2787
Wattle Flat,Bathurst Regional (Area),2795
Sofala,Bathurst Regional (Area),2795
Walang,Bathurst Regional (Area),2795
Tambaroora,Bathurst Regional (Area),2850
Duramana,Bathurst Regional (Area),2795
Mount Rankin,Bathurst Regional (Area),2795
Turondale,Bathurst Regional (Area),2795
Billywillinga,Bathurst Regional (Area),2795
Rock Forest,Bathurst Regional (Area),2795
Watton,Bathurst Regional (Area),2795
Yarras,Bathurst Regional (Area),2795
The Rocks,Bathurst Regional (Area),2795
Bathampton,Bathurst Regional (Area),2795
Dunkeld,Bathurst Regional (Area),2795
Vittoria,Bathurst Regional (Area),2799
Fitzgeralds Valley,Bathurst Regional (Area),2795
Fitzgeralds Mount,Bathurst Regional (Area),2799
O'Connell,Bathurst Regional (Area),2795
Rockley Mount,Bathurst Regional (Area),2795
Brewongle,Bathurst Regional (Area),2795
The Lagoon,Bathurst Regional (Area),2795
Bald Ridge,Bathurst Regional (Area),2795
Bella Vista,The Hills Shire (Area),2153
Baulkham Hills,The Hills Shire (Area),2153
Castle Hill,The Hills Shire (Area),2154
Kellyville,The Hills Shire (Area),2155
West Pennant Hills,The Hills Shire (Area),2125
Winston Hills,The Hills Shire (Area),2153
Glenhaven,The Hills Shire (Area),2156
Rouse Hill,The Hills Shire (Area),2155
Beaumont Hills,The Hills Shire (Area),2155
Kenthurst,The Hills Shire (Area),2156
Cattai,The Hills Shire (Area),2756
Dural,The Hills Shire (Area),2158
Wisemans Ferry,The Hills Shire (Area),2775
Lower Portland,The Hills Shire (Area),2756
Maroota,The Hills Shire (Area),2756
Sackville North,The Hills Shire (Area),2756
South Maroota,The Hills Shire (Area),2756
Glenorie,The Hills Shire (Area),2157
Maraylya,The Hills Shire (Area),2765
Middle Dural,The Hills Shire (Area),2158
Box Hill,The Hills Shire (Area),2765
Nelson,The Hills Shire (Area),2765
Annangrove,The Hills Shire (Area),2156
North Rocks,Parramatta (City),2151
Oatlands,Parramatta (City),2117
Carlingford,Parramatta (City),2118
Northmead,Parramatta (City),2152
North Parramatta,Parramatta (City),2151
Wonboyn North,Bega Valley (Area),2551
Mumbulla Mountain,Bega Valley (Area),2550
Angledale,Bega Valley (Area),2550
Frogs Hollow,Bega Valley (Area),2550
Kanoona,Bega Valley (Area),2550
Devils Hole,Bega Valley (Area),2550
Morans Crossing,Bega Valley (Area),2550
Yellow Pinch,Bega Valley (Area),2548
Bermagui,Bega Valley (Area),2546
Barragga Bay,Bega Valley (Area),2546
Cuttagee,Bega Valley (Area),2546
Green Cape,Bega Valley (Area),2551
Tinpot,Bega Valley (Area),2546
Tarraganda,Bega Valley (Area),2550
Tanja,Bega Valley (Area),2550
Edrom,Bega Valley (Area),2551
Wolumla,Bega Valley (Area),2550
Quaama,Bega Valley (Area),2550
Pambula,Bega Valley (Area),2549
Eden,Bega Valley (Area),2551
Bega,Bega Valley (Area),2550
Merimbula,Bega Valley (Area),2548
Pambula Beach,Bega Valley (Area),2549
Candelo,Bega Valley (Area),2550
Wyndham,Bega Valley (Area),2550
Kingswood,Bega Valley (Area),2550
South Pambula,Bega Valley (Area),2549
Mirador,Bega Valley (Area),2548
Berrambool,Bega Valley (Area),2548
Tathra,Bega Valley (Area),2550
Wallaga Lake,Bega Valley (Area),2546
Wapengo,Bega Valley (Area),2550
Wallagoot,Bega Valley (Area),2550
Boydtown,Bega Valley (Area),2551
Kalaru,Bega Valley (Area),2550
Nungatta,Bega Valley (Area),2551
Nungatta South,Bega Valley (Area),2551
Chinnock,Bega Valley (Area),2550
Nelson,Bega Valley (Area),2550
Bemboka,Bega Valley (Area),2550
Millingandi,Bega Valley (Area),2549
Nullica,Bega Valley (Area),2551
Steeple Flat,Bega Valley (Area),2631
Mount Darragh,Bega Valley (Area),2632
New Buildings,Bega Valley (Area),2550
Kiah,Bega Valley (Area),2551
Greendale,Bega Valley (Area),2550
Numbugga,Bega Valley (Area),2550
Brogo,Bega Valley (Area),2550
Tantawangalo,Bega Valley (Area),2550
Burragate,Bega Valley (Area),2550
South Wolumla,Bega Valley (Area),2550
Towamba,Bega Valley (Area),2550
Mogilla,Bega Valley (Area),2550
Yowrie,Bega Valley (Area),2550
Lochiel,Bega Valley (Area),2549
Verona,Bega Valley (Area),2550
Nethercote,Bega Valley (Area),2549
Buckajo,Bega Valley (Area),2550
Coolagolite,Bega Valley (Area),2550
Tura Beach,Bega Valley (Area),2548
Cobargo,Bega Valley (Area),2550
Dignams Creek,Bega Valley (Area),2546
Wandella,Bega Valley (Area),2550
Stony Creek,Bega Valley (Area),2550
Toothdale,Bega Valley (Area),2550
Pericoe,Bega Valley (Area),2550
Myrtle Mountain,Bega Valley (Area),2550
Rocky Hall,Bega Valley (Area),2550
Broadwater,Bega Valley (Area),2549
Murrah,Bega Valley (Area),2546
Bournda,Bega Valley (Area),2548
Wonboyn,Bega Valley (Area),2551
Greigs Flat,Bega Valley (Area),2549
Black Range,Bega Valley (Area),2550
Narrabarba,Bega Valley (Area),2551
Kameruka,Bega Valley (Area),2550
Bald Hills,Bega Valley (Area),2549
Yankees Creek,Bega Valley (Area),2550
Coolangubra,Bega Valley (Area),2550
Jellat Jellat,Bega Valley (Area),2550
Wadbilliga,Bega Valley (Area),2546
Nadgee,Bega Valley (Area),2551
Timbillica,Bega Valley (Area),2551
Wog Wog,Bega Valley (Area),2550
Cathcart,Bega Valley (Area),2632
Reedy Swamp,Bega Valley (Area),2550
Bellingen,Bellingen (Area),2454
Urunga,Bellingen (Area),2455
Mylestom,Bellingen (Area),2454
Megan,Bellingen (Area),2453
Deer Vale,Bellingen (Area),2453
Cascade,Bellingen (Area),2453
Kalang,Bellingen (Area),2454
Spicketts Creek,Bellingen (Area),2454
Valla,Bellingen (Area),2448
Bostobrick,Bellingen (Area),2453
Darkwood,Bellingen (Area),2454
Brierfield,Bellingen (Area),2454
Tallowwood Ridge,Bellingen (Area),2453
Thora,Bellingen (Area),2454
Gleniffer,Bellingen (Area),2454
Never Never,Bellingen (Area),2453
Valery,Bellingen (Area),2454
Fernmount,Bellingen (Area),2454
Brinerville,Bellingen (Area),2454
Dorrigo,Bellingen (Area),2453
Repton,Bellingen (Area),2454
Kennaicle Creek,Bellingen (Area),2449
Fernbrook,Bellingen (Area),2453
Dorrigo Mountain,Bellingen (Area),2453
Bielsdown Hills,Bellingen (Area),2453
North Dorrigo,Bellingen (Area),2453
Raleigh,Bellingen (Area),2454
Tocumwal,Berrigan (Area),2714
Finley,Berrigan (Area),2713
Berrigan,Berrigan (Area),2712
Barooga,Berrigan (Area),3644
Boomanoomana,Berrigan (Area),2712
Savernake,Berrigan (Area),2646
Lalalty,Berrigan (Area),3644
Mulwala,Berrigan (Area),2647
Dean Park,Blacktown (City),2761
Riverstone,Blacktown (City),2765
Quakers Hill,Blacktown (City),2763
Marayong,Blacktown (City),2148
Kings Park,Blacktown (City),2148
Kings Langley,Blacktown (City),2147
Glenwood,Blacktown (City),2768
Colebee,Blacktown (City),2761
Marsden Park,Blacktown (City),2765
Shanes Park,Blacktown (City),2747
Acacia Gardens,Blacktown (City),2763
Parklea,Blacktown (City),2768
Stanhope Gardens,Blacktown (City),2768
Schofields,Blacktown (City),2762
Kellyville Ridge,Blacktown (City),2155
Fairy Meadow,Wollongong (City),2519
Balgownie,Wollongong (City),2519
Towradgi,Wollongong (City),2518
North Wollongong,Wollongong (City),2500
East Corrimal,Wollongong (City),2518
Wollongong,Wollongong (City),2500
Mount Keira,Wollongong (City),2500
West Wollongong,Wollongong (City),2500
Mangerton,Wollongong (City),2500
Coniston,Wollongong (City),2500
Mount Saint Thomas,Wollongong (City),2500
Port Kembla,Wollongong (City),2505
Doonside,Blacktown (City),2767
Woodcroft,Blacktown (City),2767
Blacktown,Blacktown (City),2148
Prospect,Blacktown (City),2148
Seven Hills,Blacktown (City),2147
Lalor Park,Blacktown (City),2147
Toongabbie,Blacktown (City),2146
Huntingwood,Blacktown (City),2148
Arndell Park,Blacktown (City),2148
Eastern Creek,Blacktown (City),2766
Tregear,Blacktown (City),2770
Lethbridge Park,Blacktown (City),2770
Shalvey,Blacktown (City),2770
Whalan,Blacktown (City),2770
Mount Druitt,Blacktown (City),2770
Blackett,Blacktown (City),2770
Dharruk,Blacktown (City),2770
Hebersham,Blacktown (City),2770
Minchinbury,Blacktown (City),2770
Rooty Hill,Blacktown (City),2766
Hassall Grove,Blacktown (City),2761
Glendenning,Blacktown (City),2761
Emerton,Blacktown (City),2770
Bidwill,Blacktown (City),2770
Willmot,Blacktown (City),2770
Oakhurst,Blacktown (City),2761
Plumpton,Blacktown (City),2761
Bungarribee,Blacktown (City),2767
Ropes Crossing,Blacktown (City),2760
Naradhan,Bland (Area),2669
Weethalle,Bland (Area),2669
Ungarie,Bland (Area),2669
West Wyalong,Bland (Area),2671
Wyalong,Bland (Area),2671
Girral,Bland (Area),2669
Back Creek,Bland (Area),2671
Barmedman,Bland (Area),2668
Barellan,Bland (Area),2665
Kikoira,Bland (Area),2669
Beckom,Bland (Area),2665
Mirrool,Bland (Area),2665
Ariah Park,Bland (Area),2665
Alleena,Bland (Area),2671
North Yalgogrin,Bland (Area),2671
Tallimba,Bland (Area),2669
Lake Cowal,Bland (Area),2671
Bland,Bland (Area),2721
Quandialla,Bland (Area),2721
Morangarell,Bland (Area),2666
Rankins Springs,Bland (Area),2669
Ardlethan,Bland (Area),2665
Kamarah,Bland (Area),2665
Blayney,Blayney (Area),2799
Errowanbang,Blayney (Area),2791
Carcoar,Blayney (Area),2791
Newbridge,Blayney (Area),2795
Forest Reefs,Blayney (Area),2798
Browns Creek,Blayney (Area),2799
Millthorpe,Blayney (Area),2798
Kings Plains,Blayney (Area),2799
Tallwood,Blayney (Area),2798
Garland,Blayney (Area),2797
Neville,Blayney (Area),2799
Barry,Blayney (Area),2799
Mandurama,Blayney (Area),2792
Burnt Yards,Blayney (Area),2792
Panuara,Blayney (Area),2800
Blackheath,Blue Mountains (City),2785
Katoomba,Blue Mountains (City),2780
Blue Mountains National Park,Blue Mountains (City),2780
Leura,Blue Mountains (City),2780
Wentworth Falls,Blue Mountains (City),2782
Lawson,Blue Mountains (City),2783
Hazelbrook,Blue Mountains (City),2779
Faulconbridge,Blue Mountains (City),2776
Springwood,Blue Mountains (City),2777
Winmalee,Blue Mountains (City),2777
Blaxland,Blue Mountains (City),2774
Glenbrook,Blue Mountains (City),2773
Mount Riverview,Blue Mountains (City),2774
Lapstone,Blue Mountains (City),2773
Yellow Rock,Blue Mountains (City),2777
Medlow Bath,Blue Mountains (City),2780
Bullaburra,Blue Mountains (City),2784
Woodford,Blue Mountains (City),2778
Linden,Blue Mountains (City),2778
Valley Heights,Blue Mountains (City),2777
Warrimoo,Blue Mountains (City),2774
Bell,Blue Mountains (City),2786
Berambing,Blue Mountains (City),2758
Mount Irvine,Blue Mountains (City),2786
Mount Victoria,Blue Mountains (City),2786
Megalong Valley,Blue Mountains (City),2785
Mount Wilson,Blue Mountains (City),2786
Hawkesbury Heights,Blue Mountains (City),2777
Sun Valley,Blue Mountains (City),2777
Mount Tomah,Blue Mountains (City),2758
Hermidale,Bogan (Area),2831
Bobadah,Bogan (Area),2877
Pangee,Bogan (Area),2825
Five Ways,Bogan (Area),2873
Miandetta,Bogan (Area),2825
Nyngan,Bogan (Area),2825
Honeybugle,Bogan (Area),2825
Coolabah,Bogan (Area),2831
Girilambone,Bogan (Area),2831
Canonba,Bogan (Area),2825
Babinda,Bogan (Area),2825
The Marra,Bogan (Area),2831
Byrock,Bogan (Area),2831
Murrawombie,Bogan (Area),2825
Buddabadah,Bogan (Area),2825
Mulla,Bogan (Area),2825
Canbelego,Bogan (Area),2835
Bungarby,Snowy Monaro Regional (Area),2630
Lords Hill,Snowy Monaro Regional (Area),2632
Bombala,Snowy Monaro Regional (Area),2632
Craigie,Snowy Monaro Regional (Area),2632
Mila,Snowy Monaro Regional (Area),2632
Palarang,Snowy Monaro Regional (Area),2632
Gunningrah,Snowy Monaro Regional (Area),2632
Mount Cooper,Snowy Monaro Regional (Area),2631
Tombong,Snowy Monaro Regional (Area),2633
Bondi Forest,Snowy Monaro Regional (Area),2632
Bukalong,Snowy Monaro Regional (Area),2632
Cambalong,Snowy Monaro Regional (Area),2632
Holts Flat,Snowy Monaro Regional (Area),2631
Boco,Snowy Monaro Regional (Area),2631
Jincumbilly,Snowy Monaro Regional (Area),2631
Glen Allen,Snowy Monaro Regional (Area),2631
Creewah,Snowy Monaro Regional (Area),2631
Paddys Flat,Snowy Monaro Regional (Area),2632
Byadbo Wilderness,Snowy Monaro Regional (Area),2628
Corrowong,Snowy Monaro Regional (Area),2633
Delegate,Snowy Monaro Regional (Area),2633
Bibbenluke,Snowy Monaro Regional (Area),2632
Ando,Snowy Monaro Regional (Area),2631
Rockton,Snowy Monaro Regional (Area),2632
Rosemeath,Snowy Monaro Regional (Area),2632
Coolumbooka,Snowy Monaro Regional (Area),2632
Quidong,Snowy Monaro Regional (Area),2632
Merriangaah,Snowy Monaro Regional (Area),2632
Boorowa,Hilltops (Area),2586
Wyangala,Hilltops (Area),2808
Reids Flat,Hilltops (Area),2586
Mount Collins,Hilltops (Area),2794
Rugby,Hilltops (Area),2583
Rye Park,Hilltops (Area),2586
Hovells Creek,Hilltops (Area),2794
Frogmore,Hilltops (Area),2586
Taylors Flat,Hilltops (Area),2586
Godfreys Creek,Hilltops (Area),2586
Mascot,Botany Bay (City),2020
Botany,Botany Bay (City),2019
Rosebery,Botany Bay (City),2018
Eastlakes,Botany Bay (City),2018
Pagewood,Botany Bay (City),2035
Daceyville,Botany Bay (City),2032
Hillsdale,Botany Bay (City),2036
Banksmeadow,Botany Bay (City),2019
Eastgardens,Botany Bay (City),2036
Louth,Bourke (Area),2840
Wanaaring,Bourke (Area),2840
Gumbalie,Bourke (Area),2840
Fords Bridge,Bourke (Area),2840
Enngonia,Bourke (Area),2840
Bourke,Bourke (Area),2840
Hungerford,Bourke (Area),2840
Gunderbooka,Bourke (Area),2840
Angledool,Brewarrina (Area),2834
Collerina,Brewarrina (Area),2839
Narran Lake,Brewarrina (Area),2839
Talawanta,Brewarrina (Area),2839
Goodooga,Brewarrina (Area),2838
Brewarrina,Brewarrina (Area),2839
Gongolgon,Brewarrina (Area),2839
Broken Hill,Broken Hill (City),2880
Enfield,Burwood (Area),2136
Burwood,Burwood (Area),2134
Burwood Heights,Burwood (Area),2136
Strathfield,Burwood (Area),2135
The Pocket,Byron (Area),2483
Coopers Shoot,Byron (Area),2479
Tyagarah,Byron (Area),2481
New Brighton,Byron (Area),2483
Koonyum Range,Byron (Area),2482
Palmwoods,Byron (Area),2482
Brunswick Heads,Byron (Area),2483
Ocean Shores,Byron (Area),2483
South Golden Beach,Byron (Area),2483
Middle Pocket,Byron (Area),2483
Mullumbimby,Byron (Area),2482
Upper Wilsons Creek,Byron (Area),2482
Wilsons Creek,Byron (Area),2482
Upper Main Arm,Byron (Area),2482
Huonbrook,Byron (Area),2482
Goonengerry,Byron (Area),2482
Byron Bay,Byron (Area),2481
Suffolk Park,Byron (Area),2481
Skinners Shoot,Byron (Area),2481
Main Arm,Byron (Area),2482
Federal,Byron (Area),2480
Coorabell,Byron (Area),2479
Montecollum,Byron (Area),2482
Mullumbimby Creek,Byron (Area),2482
Wanganui,Byron (Area),2482
Upper Coopers Creek,Byron (Area),2482
Myocum,Byron (Area),2481
Billinudgel,Byron (Area),2483
Yelgun,Byron (Area),2483
Ewingsdale,Byron (Area),2481
Bangalow,Byron (Area),2479
Wooyung,Byron (Area),2483
Eureka,Byron (Area),2480
Clunes,Byron (Area),2480
Nashua,Byron (Area),2479
McLeods Shoot,Byron (Area),2479
Binna Burra,Byron (Area),2479
Possum Creek,Byron (Area),2479
Hayters Hill,Byron (Area),2481
Talofa,Byron (Area),2481
Ophir,Cabonne (Area),2800
Lidster,Cabonne (Area),2800
Cargo,Cabonne (Area),2800
Bowan Park,Cabonne (Area),2864
Cadia,Cabonne (Area),2800
Waldegrave,Cabonne (Area),2800
March,Cabonne (Area),2800
Clifton Grove,Cabonne (Area),2800
Summer Hill Creek,Cabonne (Area),2800
Four Mile Creek,Cabonne (Area),2800
Lewis Ponds,Cabonne (Area),2800
Lower Lewis Ponds,Cabonne (Area),2800
Borenore,Cabonne (Area),2800
Nashdale,Cabonne (Area),2800
Canobolas,Cabonne (Area),2800
Belgravia,Cabonne (Area),2800
Springside,Cabonne (Area),2800
Orange,Cabonne (Area),2800
Byng,Cabonne (Area),2800
Spring Terrace,Cabonne (Area),2798
Kangaroobie,Cabonne (Area),2800
Emu Swamp,Cabonne (Area),2800
Eugowra,Cabonne (Area),2806
Yullundry,Cabonne (Area),2867
Yeoval,Cabonne (Area),2868
Canowindra,Cabonne (Area),2804
Garra,Cabonne (Area),2866
Molong,Cabonne (Area),2866
Gumble,Cabonne (Area),2865
Boomey,Cabonne (Area),2866
Obley,Cabonne (Area),2868
Gooloogong,Cabonne (Area),2805
Nyrang Creek,Cabonne (Area),2804
Cudal,Cabonne (Area),2864
Cumnock,Cabonne (Area),2867
Manildra,Cabonne (Area),2865
Boree,Cabonne (Area),2800
Murga,Cabonne (Area),2864
Moorbel,Cabonne (Area),2804
Amaroo,Cabonne (Area),2866
Toogong,Cabonne (Area),2864
Baldry,Cabonne (Area),2867
Larras Lee,Cabonne (Area),2866
Eurimbla,Cabonne (Area),2867
Mandagery,Cabonne (Area),2870
Mullion Creek,Cabonne (Area),2800
Kerrs Creek,Cabonne (Area),2800
Clergate,Cabonne (Area),2800
Camden South,Camden (Area),2570
Camden,Camden (Area),2570
Elderslie,Camden (Area),2570
Harrington Park,Camden (Area),2567
Narellan Vale,Camden (Area),2567
Narellan,Camden (Area),2567
Mount Annan,Camden (Area),2567
Currans Hill,Camden (Area),2567
Leppington,Camden (Area),2179
Gregory Hills,Camden (Area),2557
Rossmore,Camden (Area),2557
Ellis Lane,Camden (Area),2570
Cawdor,Camden (Area),2570
Kirkham,Camden (Area),2570
Catherine Field,Camden (Area),2557
Bringelly,Camden (Area),2556
Cobbitty,Camden (Area),2570
Smeaton Grange,Camden (Area),2567
Grasmere,Camden (Area),2570
Kearns,Campbelltown (City),2558
Raby,Campbelltown (City),2566
Eschol Park,Campbelltown (City),2558
Eagle Vale,Campbelltown (City),2558
St Andrews,Campbelltown (City),2566
Ingleburn,Campbelltown (City),2565
Bow Bowing,Campbelltown (City),2566
Denham Court,Campbelltown (City),2565
Minto,Campbelltown (City),2566
Macquarie Fields,Campbelltown (City),2564
Glenfield,Campbelltown (City),2167
Blairmount,Campbelltown (City),2559
Claymore,Campbelltown (City),2559
Kentlyn,Campbelltown (City),2560
Macquarie Links,Campbelltown (City),2565
Minto Heights,Campbelltown (City),2566
Varroville,Campbelltown (City),2566
Long Point,Campbelltown (City),2564
Campbelltown,Campbelltown (City),2560
Bradbury,Campbelltown (City),2560
Wedderburn,Campbelltown (City),2560
St Helens Park,Campbelltown (City),2560
Leumeah,Campbelltown (City),2560
Ambarvale,Campbelltown (City),2560
Glen Alpine,Campbelltown (City),2560
Rosemeadow,Campbelltown (City),2560
Woodbine,Campbelltown (City),2560
Gilead,Campbelltown (City),2560
Holsworthy,Campbelltown (City),2173
Woronora Dam,Campbelltown (City),2508
Ruse,Campbelltown (City),2560
Airds,Campbelltown (City),2560
Blair Athol,Campbelltown (City),2560
Menangle Park,Campbelltown (City),2563
Englorie Park,Campbelltown (City),2560
Concord West,Canada Bay (Area),2138
North Strathfield,Canada Bay (Area),2137
Concord,Canada Bay (Area),2137
Cabarita,Canada Bay (Area),2137
Rhodes,Canada Bay (Area),2138
Breakfast Point,Canada Bay (Area),2137
Liberty Grove,Canada Bay (Area),2138
Mortlake,Canada Bay (Area),2137
Five Dock,Canada Bay (Area),2046
Abbotsford,Canada Bay (Area),2046
Chiswick,Canada Bay (Area),2046
Russell Lea,Canada Bay (Area),2046
Rodd Point,Canada Bay (Area),2046
Drummoyne,Canada Bay (Area),2047
Canada Bay,Canada Bay (Area),2046
Wareemba,Canada Bay (Area),2046
Riverwood,Canterbury-Bankstown (Area),2210
Roselands,Canterbury-Bankstown (Area),2196
Belmore,Canterbury-Bankstown (Area),2192
Belfield,Canterbury-Bankstown (Area),2191
Kingsgrove,Canterbury-Bankstown (Area),2208
Campsie,Canterbury-Bankstown (Area),2194
Clemton Park,Canterbury-Bankstown (Area),2206
Earlwood,Canterbury-Bankstown (Area),2206
Canterbury,Canterbury-Bankstown (Area),2193
Beverly Hills,Canterbury-Bankstown (Area),2209
Narwee,Canterbury-Bankstown (Area),2209
